course,subject_abbr,course_subject,course_num,course_name,term_year,gpa,total,n_count,c_count,f_count,cr_count,p_count,nw_count,other_count,bc_count,u_count,d_count,ab_count,a_count,s_count,i_count,b_count,nr_count
A A E 215,A A E,Agricultural and Applied Economics,215,Introduction to Agricultural and Applied Economics,2017,3.093776282590412,169,0,24,4,0,0,0,0,21,0,2,34,50,0,0,34,0
A A E 244,A A E,Agricultural and Applied Economics,244,The Environment and the Global Economy,2017,3.378787878787879,100,0,7,1,0,0,0,0,7,0,0,38,32,0,0,14,1
A A E 246,A A E,Agricultural and Applied Economics,246,Climate Change Economics and Policy,2017,3.0795454545454546,88,0,14,1,0,0,0,0,4,0,2,10,25,0,0,32,0
A A E 306,A A E,Agricultural and Applied Economics,306,The Real Estate Process,2017,3.078697582736799,547,0,58,1,0,0,0,1,66,0,5,93,80,3,0,239,1
A A E 319,A A E,Agricultural and Applied Economics,319,The International Agricultural Economy,2017,3.0714285714285716,14,0,2,1,0,0,0,0,1,0,0,5,4,0,0,1,0
A A E 320,A A E,Agricultural and Applied Economics,320,Farming Systems Management,2017,2.9833333333333334,60,0,10,1,0,0,0,0,2,0,7,10,22,0,0,8,0
A A E 322,A A E,Agricultural and Applied Economics,322,Commodity Markets,2017,3.442622950819672,61,0,0,0,0,0,0,0,4,0,3,16,27,0,0,11,0
A A E 323,A A E,Agricultural and Applied Economics,323,Cooperatives,2017,3.210526315789474,19,0,1,0,0,0,0,0,0,0,0,0,5,0,0,13,0
A A E 340,A A E,Agricultural and Applied Economics,340,Issues in Food Systems,2017,4.0,20,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0
A A E 343,A A E,Agricultural and Applied Economics,343,Environmental Economics,2017,3.0,157,0,17,1,0,0,0,0,27,0,7,29,33,1,0,42,0
A A E 350,A A E,Agricultural and Applied Economics,350,World Hunger and Malnutrition,2017,3.3714788732394365,284,0,12,5,0,0,0,0,17,0,6,80,113,0,0,51,0
A A E 373,A A E,Agricultural and Applied Economics,373,"Globalization, Poverty and Development",2017,3.2625,41,0,1,0,0,0,0,0,2,0,0,11,7,0,1,19,0
A A E 374,A A E,Agricultural and Applied Economics,374,The Growth and Development of Nations in the Global Economy,2017,3.3306451612903225,62,0,1,1,0,0,0,0,5,0,0,24,15,0,0,16,0
A A E 375,A A E,Agricultural and Applied Economics,375,Special Topics,2017,3.7412280701754383,42,0,0,0,0,0,1,0,1,1,0,8,24,2,1,4,0
A A E 419,A A E,Agricultural and Applied Economics,419,Agricultural Finance,2017,3.819672131147541,61,0,0,0,0,0,0,0,0,0,1,10,47,0,0,3,0
A A E 421,A A E,Agricultural and Applied Economics,421,Economic Decision Analysis,2017,2.3157894736842106,39,0,6,2,0,0,0,1,10,0,7,2,4,0,0,7,0
A A E 462,A A E,Agricultural and Applied Economics,462,Latin American Economic Development,2017,3.6875,56,0,3,0,0,0,0,0,0,0,0,7,38,0,0,8,0
